-0.14	-0.15	-0.17	-0.19	-0.20	-0.21	-0.22	-0.23	-0.22	-0.21	-0.20	-0.17	-0.13	-0.08	-0.03	0.03	0.08	0.13	0.17	0.20	0.21	0.22	0.23	0.22	0.21	0.20	0.19	0.17	0.15	0.14
-0.15	-0.17	-0.19	-0.21	-0.23	-0.25	-0.27	-0.28	-0.28	-0.27	-0.25	-0.22	-0.17	-0.11	-0.04	0.04	0.11	0.17	0.22	0.25	0.27	0.28	0.28	0.27	0.25	0.23	0.21	0.19	0.17	0.15
-0.17	-0.19	-0.22	-0.25	-0.27	-0.30	-0.32	-0.34	-0.35	-0.35	-0.33	-0.29	-0.22	-0.14	-0.05	0.05	0.14	0.22	0.29	0.33	0.35	0.35	0.34	0.32	0.30	0.27	0.25	0.22	0.19	0.17
-0.19	-0.21	-0.25	-0.28	-0.32	-0.36	-0.39	-0.43	-0.45	-0.45	-0.43	-0.39	-0.31	-0.20	-0.07	0.07	0.20	0.31	0.39	0.43	0.45	0.45	0.43	0.39	0.36	0.32	0.28	0.25	0.21	0.19
-0.20	-0.23	-0.27	-0.32	-0.37	-0.42	-0.48	-0.53	-0.57	-0.60	-0.59	-0.53	-0.43	-0.28	-0.10	0.10	0.28	0.43	0.53	0.59	0.60	0.57	0.53	0.48	0.42	0.37	0.32	0.27	0.23	0.20
-0.21	-0.25	-0.30	-0.36	-0.42	-0.50	-0.58	-0.66	-0.74	-0.79	-0.80	-0.75	-0.63	-0.42	-0.15	0.15	0.42	0.63	0.75	0.80	0.79	0.74	0.66	0.58	0.50	0.42	0.36	0.30	0.25	0.21
-0.22	-0.27	-0.32	-0.39	-0.48	-0.58	-0.69	-0.82	-0.95	-1.06	-1.12	-1.09	-0.94	-0.64	-0.23	0.23	0.64	0.94	1.09	1.12	1.06	0.95	0.82	0.69	0.58	0.48	0.39	0.32	0.27	0.22
-0.23	-0.28	-0.34	-0.43	-0.53	-0.66	-0.82	-1.01	-1.22	-1.43	-1.59	-1.63	-1.46	-1.04	-0.38	0.38	1.04	1.46	1.63	1.59	1.43	1.22	1.01	0.82	0.66	0.53	0.43	0.34	0.28	0.23
-0.22	-0.28	-0.35	-0.45	-0.57	-0.74	-0.95	-1.22	-1.55	-1.93	-2.28	-2.50	-2.39	-1.78	-0.67	0.67	1.78	2.39	2.50	2.28	1.93	1.55	1.22	0.95	0.74	0.57	0.45	0.35	0.28	0.22
-0.21	-0.27	-0.35	-0.45	-0.60	-0.79	-1.06	-1.43	-1.93	-2.56	-3.29	-3.94	-4.12	-3.30	-1.29	1.29	3.30	4.12	3.94	3.29	2.56	1.93	1.43	1.06	0.79	0.60	0.45	0.35	0.27	0.21
-0.20	-0.25	-0.33	-0.43	-0.59	-0.80	-1.12	-1.59	-2.28	-3.29	-4.68	-6.31	0.00	0.00	0.00	0.00	0.00	0.00	6.31	4.68	3.29	2.28	1.59	1.12	0.80	0.59	0.43	0.33	0.25	0.20
-0.17	-0.22	-0.29	-0.39	-0.53	-0.75	-1.09	-1.63	-2.50	-3.94	-6.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.31	3.94	2.50	1.63	1.09	0.75	0.53	0.39	0.29	0.22	0.17
-0.13	-0.17	-0.22	-0.31	-0.43	-0.63	-0.94	-1.46	-2.39	-4.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	2.39	1.46	0.94	0.63	0.43	0.31	0.22	0.17	0.13
-0.08	-0.11	-0.14	-0.20	-0.28	-0.42	-0.64	-1.04	-1.78	-3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.30	1.78	1.04	0.64	0.42	0.28	0.20	0.14	0.11	0.08
-0.03	-0.04	-0.05	-0.07	-0.10	-0.15	-0.23	-0.38	-0.67	-1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.29	0.67	0.38	0.23	0.15	0.10	0.07	0.05	0.04	0.03
0.03	0.04	0.05	0.07	0.10	0.15	0.23	0.38	0.67	1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.29	-0.67	-0.38	-0.23	-0.15	-0.10	-0.07	-0.05	-0.04	-0.03
0.08	0.11	0.14	0.20	0.28	0.42	0.64	1.04	1.78	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-3.30	-1.78	-1.04	-0.64	-0.42	-0.28	-0.20	-0.14	-0.11	-0.08
0.13	0.17	0.22	0.31	0.43	0.63	0.94	1.46	2.39	4.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-4.12	-2.39	-1.46	-0.94	-0.63	-0.43	-0.31	-0.22	-0.17	-0.13
0.17	0.22	0.29	0.39	0.53	0.75	1.09	1.63	2.50	3.94	6.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6.31	-3.94	-2.50	-1.63	-1.09	-0.75	-0.53	-0.39	-0.29	-0.22	-0.17
0.20	0.25	0.33	0.43	0.59	0.80	1.12	1.59	2.28	3.29	4.68	6.31	0.00	0.00	0.00	0.00	0.00	0.00	-6.31	-4.68	-3.29	-2.28	-1.59	-1.12	-0.80	-0.59	-0.43	-0.33	-0.25	-0.20
0.21	0.27	0.35	0.45	0.60	0.79	1.06	1.43	1.93	2.56	3.29	3.94	4.12	3.30	1.29	-1.29	-3.30	-4.12	-3.94	-3.29	-2.56	-1.93	-1.43	-1.06	-0.79	-0.60	-0.45	-0.35	-0.27	-0.21
0.22	0.28	0.35	0.45	0.57	0.74	0.95	1.22	1.55	1.93	2.28	2.50	2.39	1.78	0.67	-0.67	-1.78	-2.39	-2.50	-2.28	-1.93	-1.55	-1.22	-0.95	-0.74	-0.57	-0.45	-0.35	-0.28	-0.22
